Reglas;Template;Tipo de Etiqueta;Canales (Sucursales);Desde;Hasta;Productos;Categorias
R24;T24ofertaMobile;Oferta mobile;Preproduccion_029;23/4/2018;15/5/2018;780992;
R23;R23ofertaMobile;Oferta mobile;todos ;23/4/2018;15/5/2018;780992;
R22;R22ofertaMobile;Oferta mobile;Preproduccion_029;23/4/2018;15/5/2018;;celulares
R21;R21ofertaMobile;Oferta mobile;todos ;23/4/2018;15/5/2018;;celulares
R20(NO SE DEBE PODER CREAR ESTA REGLA);T1;Oferta mobile;Preproduccion_029;23/4/2018;15/5/2018;;
R19(NO SE DEBE PODER CREAR ESTA REGLA);T1;Oferta mobile;todos ;23/4/2018;15/5/2018;;
R18;R18ofertaMobile;Default mobile;Preproduccion_029;23/4/2018;15/5/2018;780992;
R17;R17ofertaMobile;Default mobile;todos ;23/4/2018;15/5/2018;780992;
R16;R16ofertaMobile;Default mobile;Preproduccion_029;23/4/2018;15/5/2018;;celulares
R15;R15ofertaMobile;Default mobile;todos ;23/4/2018;15/5/2018;;celulares
R14;R14ofertaMobile;Default mobile;Preproduccion_029;23/4/2018;15/5/2018;;
R13;R13ofertaMobile;Default mobile;todos ;23/4/2018;15/5/2018;;
R12;Default cocinas;Default;todos ;23/4/2018;15/5/2018;;
R11;Default cocinas;Default;Preproduccion_029;23/4/2018;15/5/2018;;
R10;Default cocinas;Default;todos ;23/4/2018;15/5/2018;;cocinas
R9;Default cocinas;Default;Preproduccion_029;23/4/2018;15/5/2018;;cocinas
R8;Default cocinas;Default;todos ;23/4/2018;15/5/2018;100106;
R7;Default cocinas;Default;Preproduccion_029;23/4/2018;15/5/2018;100106;
R6 (NO SE DEBE PODER CREAR ESTA REGLA);Oferta x2 ElectroSale Cocina;Oferta;todos ;23/4/2018;15/5/2018;;
R5 (NO SE DEBE PODER CREAR ESTA REGLA);Oferta x2 ElectroSale Cocina;Oferta;Preproduccion_029;23/4/2018;15/5/2018;;
R4;Oferta x2 ElectroSale Cocina;Oferta;todos ;23/4/2018;15/5/2018;;cocina
R3;Oferta x2 ElectroSale Cocina;Oferta;Preproduccion_029;23/4/2018;15/5/2018;;cocina
R2;Oferta x2 ElectroSale Cocina;Oferta;todos ;23/4/2018;15/5/2018;100106;
R1;Oferta x2 ElectroSale Cocina;Oferta;Preproduccion_029;23/4/2018;15/5/2018;100106;
